NOC,Year,NumAthletes,PctFemale,AvgAge,AvgHeight,AvgWeight,AvgOlympicExp,PctAchievPrevGames,PctPastMedals,Target
AFG,2016,3,0.3333333333333333,24.666666666666668,173.66666666666666,74,1,0,0,0
ALB,2016,6,0.5,23.666666666666668,176.16666666666666,67.16666666666667,1.5,0,0,0
ALG,2016,64,0.15625,24.609375,175.515625,70.125,1.28125,0.015625,0.015625,0.015625
AND,2016,4,0.5,26,171.5,66.25,1,0,0,0
ANG,2016,26,0.6923076923076923,27.46153846153846,174.5,73.34615384615384,1.6538461538461537,0,0,0
ANT,2016,8,0.25,22.5,177.14285714285714,71.5,1.375,0,0,0
ARG,2016,215,0.3488372093023256,27.413953488372094,178.74883720930234,75.6,1.4976744186046511,0.05581395348837209,0.11627906976744186,0.10232558139534884
ARM,2016,31,0.22580645161290322,24.29032258064516,172.09677419354838,76.12903225806451,1.2903225806451613,0.0967741935483871,0.0967741935483871,0.12903225806451613
ARU,2016,7,0.5714285714285714,24,174.28571428571428,68.71428571428571,1.2857142857142858,0,0,0
ASA,2016,4,0.25,25.25,176.75,75.25,1,0,0,0
AUS,2016,420,0.5047619047619047,26.38809523809524,178.48448687350836,73.46024096385543,1.5452380952380953,0.12142857142857143,0.18571428571428572,0.18571428571428572
AUT,2016,71,0.4788732394366197,27.87323943661972,177.07042253521126,69.88732394366197,1.7183098591549295,0,0.014084507042253521,0.028169014084507043
AZE,2016,56,0.25,25.839285714285715,177.44642857142858,74.32142857142857,1.5714285714285714,0.16071428571428573,0.25,0.32142857142857145
BAH,2016,29,0.41379310344827586,26.17241379310345,177.84,69.20833333333333,1.8620689655172413,0.10344827586206896,0.2413793103448276,0.20689655172413793
BAN,2016,7,0.42857142857142855,23.428571428571427,166.5,71.75,1.1428571428571428,0,0,0
BAR,2016,11,0.36363636363636365,25.181818181818183,180.27272727272728,74.63636363636364,1.4545454545454546,0,0,0
BDI,2016,9,0.4444444444444444,24.444444444444443,172,58.77777777777778,1.6666666666666667,0,0,0.1111111111111111
BEL,2016,104,0.3269230769230769,26.16346153846154,177.2596153846154,69.17307692307692,1.6057692307692308,0.028846153846153848,0.028846153846153848,0.20192307692307693
BEN,2016,6,0.3333333333333333,26.5,179.33333333333334,78.83333333333333,1,0,0,0
BER,2016,8,0.5,25.125,174.125,69.125,1.5,0,0,0
BHU,2016,2,1,25,164,55,1,0,0,0
BIH,2016,11,0.36363636363636365,25.272727272727273,180.1818181818182,85.9090909090909,1.3636363636363635,0,0,0
BIZ,2016,3,0.3333333333333333,27.333333333333332,183.66666666666666,79.33333333333333,1,0,0,0
BLR,2016,120,0.5583333333333333,27.191666666666666,177.125,72.63333333333334,1.8416666666666666,0.058333333333333334,0.10833333333333334,0.1
BOL,2016,12,0.5,25.583333333333332,171.33333333333334,64.25,1.1666666666666667,0,0,0
BOT,2016,12,0.25,21.666666666666668,178,65.66666666666667,1.1666666666666667,0.08333333333333333,0.08333333333333333,0
BRA,2016,462,0.44805194805194803,27.517316017316016,176.64859002169197,72.59219088937093,1.5541125541125542,0.05844155844155844,0.11904761904761904,0.10606060606060606
BRN,2016,33,0.3939393939393939,23.424242424242426,171.32142857142858,61.392857142857146,1.0606060606060606,0,0,0.06060606060606061
BRU,2016,3,0.3333333333333333,23,158,57.333333333333336,1,0,0,0
BUL,2016,51,0.43137254901960786,25.568627450980394,175,70.58823529411765,1.4313725490196079,0,0,0.13725490196078433
BUR,2016,5,0.4,22.6,181,84.4,1.4,0,0,0
CAF,2016,6,0.5,21.5,169.4,61.6,1.5,0,0,0
CAM,2016,6,0.6666666666666666,29.5,163.5,56.833333333333336,1.3333333333333333,0,0,0
CAN,2016,310,0.5903225806451613,26.583870967741934,175.7709677419355,70.06168831168831,1.4451612903225806,0.08064516129032258,0.11612903225806452,0.20967741935483872
CAY,2016,5,0.4,23.2,179.4,73.6,1.6,0,0,0
CGO,2016,10,0.3,24.9,174.88888888888889,82.25,1.3,0,0,0
CHA,2016,2,0.5,23.5,173,51.5,1,0,0,0
CHI,2016,42,0.40476190476190477,27.023809523809526,173.66666666666666,68.35714285714286,1.5714285714285714,0,0,0
CHN,2016,392,0.6147959183673469,24.40561224489796,176.1326530612245,69.13265306122449,1.4464285714285714,0.12244897959183673,0.19642857142857142,0.2729591836734694
CIV,2016,12,0.5833333333333334,25.666666666666668,176.83333333333334,69.54545454545455,1.3333333333333333,0,0,0.16666666666666666
CMR,2016,22,0.7727272727272727,26.636363636363637,173.86363636363637,72.4090909090909,1.1818181818181819,0,0,0
COD,2016,4,0.5,24,163,57,1,0,0,0
COK,2016,9,0.5555555555555556,23.333333333333332,172.66666666666666,73,1.3333333333333333,0,0,0
COL,2016,143,0.48951048951048953,25.965034965034967,170.27272727272728,65.01398601398601,1.4895104895104896,0.055944055944055944,0.06293706293706294,0.055944055944055944
COM,2016,4,0.5,21.75,168.5,60.5,1.25,0,0,0
CPV,2016,5,0.6,22.6,177.6,63.5,1.2,0,0,0
CRC,2016,11,0.45454545454545453,27.636363636363637,172.9,68.5,1.5454545454545454,0,0,0
CRO,2016,85,0.2235294117647059,27.31764705882353,186.87058823529412,86.4235294117647,1.7529411764705882,0.21176470588235294,0.23529411764705882,0.2823529411764706
CUB,2016,117,0.2905982905982906,24.974358974358974,176.97435897435898,74.51282051282051,1.5213675213675213,0.1111111111111111,0.15384615384615385,0.09401709401709402
CYP,2016,15,0.4,26.466666666666665,179,70.53333333333333,1.8,0.06666666666666667,0.06666666666666667,0
CZE,2016,104,0.40384615384615385,27.682692307692307,180.76923076923077,75.41346153846153,2.0384615384615383,0.125,0.16346153846153846,0.14423076923076922
DEN,2016,119,0.3445378151260504,26.54621848739496,182.0420168067227,76.11764705882354,1.6218487394957983,0.11764705882352941,0.16806722689075632,0.33613445378151263
DJI,2016,7,0.14285714285714285,21.714285714285715,173.57142857142858,62.714285714285715,1.1428571428571428,0,0,0
DMA,2016,2,0.5,25,179,74,1,0,0,0
DOM,2016,26,0.3076923076923077,26.03846153846154,172.5,63.61538461538461,1.3076923076923077,0.038461538461538464,0.038461538461538464,0.038461538461538464
